INFO:root:Batch Loss (Square Loss): 0.2271 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1469 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1784 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1523 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1440 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1580 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1212 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1388 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1639 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1376 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1426 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2524 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.0895 | Accuracy: 0.8750
INFO:root:Epoch 4/100
INFO:root:Batch Loss (Square Loss): 0.2535 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.2729 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2198 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1248 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1349 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2414 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1258 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1339 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1655 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1968 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1472 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1609 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1200 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1252 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1505 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1284 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.2319 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1252 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1381 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.2318 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1551 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1787 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1804 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1872 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.2271 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1572 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1308 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1619 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.2231 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1311 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1342 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1309 | Accuracy: 0.5000
INFO:root:Epoch 5/100
