nohup: ignoring input
INFO:root:Epoch 1/15
INFO:root:Batch Loss (Cross Entropy Loss): 2.3601 | Categorical Accuracy: 0.0312
INFO:root:Batch Loss (Cross Entropy Loss): 2.2341 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 2.0889 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.4357 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.7989 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.4875 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.2871 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.2135 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.1366 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.2350 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.2256 | Categorical Accuracy: 0.0312
INFO:root:Batch Loss (Cross Entropy Loss): 2.2633 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.2841 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.2695 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 2.1836 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.2166 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.1269 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.1795 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 1.8581 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 1.8808 | Categorical Accuracy: 0.5000
INFO:root:Batch Loss (Cross Entropy Loss): 2.4126 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 2.2021 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.3821 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.4142 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.3060 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 3.9537 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 3.6000 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.7908 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.9001 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.1380 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 2.3682 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.4686 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.3878 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.0659 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 1.9989 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 2.2379 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.1196 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.0033 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.0948 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.1460 | Categorical Accuracy: 0.3125
